Ad Name,Ad Set,Campaign,Reporting Starts,Reporting Ends,Impressions,Link Clicks,Amount Spent (USD),3-Second Video Views,Video Watches at 100%,Video Watches at 50%
Real Cooking - Toys R Us,Real Cooking - F 8-12 - Games,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,43,0,0.44,1,1,1
Real Cooking - Toys R Us,Real Cooking - F 5-7 - Movies,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,21,0,0.08,2,2,2
Real Cooking - Target,Real Cooking - F 8-12 - YouTube,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,3519,17,32.02,240,79,168
Real Cooking - Target,Real Cooking - F 5-7 - Toys,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,20,0,0.15,3,1,2
Real Cooking - Target,Real Cooking - F 8-12 - Toys,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,106,0,1.24,11,4,7
Real Cooking - Target,Real Cooking - F 8-12 - Movies,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,842,5,7.48,51,21,35
Real Cooking - Target,Real Cooking - F 5-7 - Games,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,895,6,7.58,66,28,42
Real Cooking - Target,Real Cooking - F 5-7 - Music,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,660,1,4.7,35,18,25
Real Cooking - Target,Real Cooking - F 5-7 - TV Shows,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1561,5,12.94,107,28,77
Real Cooking - Target,Real Cooking - F 5-7 - YouTube,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,3301,8,26.26,238,71,157
Real Cooking - Target,Real Cooking - F 8-12 - TV Shows,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,5082,14,37.89,305,80,188
Real Cooking - Target,Real Cooking - F 8-12 - Games,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,224,2,2.02,19,7,12
Real Cooking - Target,Real Cooking - F 8-12 - Music,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,204,1,3.03,27,12,23
Real Cooking - Target,Real Cooking - F 5-7 - Movies,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,39,0,0.14,3,1,2
Real Cooking - Amazon,Real Cooking - F 5-7 - YouTube,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1434,4,10.82,94,26,57
Real Cooking - Amazon,Real Cooking - F 5-7 - TV Shows,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,783,2,6.86,43,12,27
Real Cooking - Amazon,Real Cooking - F 8-12 - Movies,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,276,1,3.29,22,11,16
Real Cooking - Amazon,Real Cooking - F 5-7 - Movies,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,31,0,0.09,1,0,0
Real Cooking - Amazon,Real Cooking - F 8-12 - YouTube,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,28,0,0.31,2,0,1
Real Cooking - Amazon,Real Cooking - F 5-7 - Games,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1412,6,9.0,83,28,57
Real Cooking - Amazon,Real Cooking - F 8-12 - Toys,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,3632,18,25.62,239,77,154
Real Cooking - Amazon,Real Cooking - F 8-12 - Music,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1117,2,13.94,116,37,78
Real Cooking - Amazon,Real Cooking - F 5-7 - Music,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,47,0,0.4,0,0,0
Real Cooking - Amazon,Real Cooking - F 8-12 - TV Shows,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,127,1,1.16,6,2,4
Real Cooking - Amazon,Real Cooking - F 8-12 - Games,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,715,0,5.92,51,24,35
Real Cooking - Amazon,Real Cooking - F 5-7 - Toys,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1658,3,6.44,85,44,69
Chocolate Pen,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,120,0,2.16,6,1,4
Chocolate Pen - Amazon,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,969,1,17.92,34,6,16
Chocolate Pen - Target,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,2116,2,35.97,56,18,35
Chocolate Pen - Walmart,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,413,0,7.34,17,2,10
Chocolate Pen - Toys R Us,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,2548,4,49.6,86,22,61
Chocolate Pen - Toys R Us,Real Cooking - F 8-12 - Music,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,1930,3,23.1,84,19,59
Chocolate Pen - Toys R Us,Real Cooking - F 8-12 - TV Shows,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,54,0,0.68,1,0,0
Chocolate Pen - Toys R Us,Real Cooking - F 8-12 - Movies,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,1074,0,13.53,53,18,37
Chocolate Pen - Toys R Us,Real Cooking - F 5-7 - TV Shows,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,1238,0,14.6,40,11,26
